"Pickup point","Punto de recogida"
"pickup point","punto de recogida"
"Pickup points","Puntos de recogida"
"Pickup Points","Puntos de Recogida"
"No Shipping Method","Sin Metodo de envio"
"Add New Pickup Point","Agregar Nuevo Punto de Recogida"
"Delete Pickup Point","Delete Tienda"
"Are you sure you want to do this?","¿Estas seguro que quieres hacer esto?"
"The pickup point has been deleted.","Se ha borrado el punto de recogida."
"It cannot find a pickup point to delete.","No podemos encontrar un punto de recogida para borrar."
"This collection point no longer exists.","Este punto de recogida no existe más."
"Edit Pickup Point","Editar Punto de Recogida"
"New Pickup Point","Nuevo Punto de Recogida"
"Pickup Points","Puntos de Recogida"
"Nuevo Punta de Recogida","Nuevo Punta de Recogida"
"Pickup Points","Puntos de recogida"
"Please correct the data sent.","Por favor corrige los datos enviados."
"A total of %1 record(s) have been deleted.","Un total de %1 registro(s) han sido borrado(s)."
"This pickup point no longer exists.","Este punto de recogida ya no existe."
"You have saved the pickup point.","Has guardado el punto de recogida."
"Something went wrong with saving the pickup point.","Algo anduvo mal con el guardado del punto de recogida."
"You duplicated the pickup point.","Duplicaste el punto de recogida."
"No Shipping Method","Sin Metodo de envio"
"Are you sure you want to delete %1 record?","Esta seguro que desea borrar %1 registro?"
"Router URL","URL de ruteo"
"Shipping Method","Metodo de Envio"
"¿Are you sure you want to delete the selected items?","¿Usted esta seguro que quiere borrar los items seleccionados?"
"Delete items","Borrar items"
"Name","Nombre"
"Address","Direccion"
"Latitude","Latitud"
"Longitude","Longitud"
"Locality","Localidad"
"Position","Posicion"


